FinancialYear,SettlementDate,SettlementPeriod,1,2,3,4,5,6,7,8,9
2020/21,43924,17,1,25,2,18,4,4,26,13,33
2020/21,43924,18,1,22,3,18,1,1,18,9,22
2020/21,43924,19,1,25,4,25,2,2,22,11,22
2020/21,43924,20,1,26,7,26,3,3,26,13,27
2020/21,43924,21,1,22,7,33,2,2,28,14,27
2020/21,43924,22,1,26,4,33,1,1,30,15,33
2020/21,43924,23,1,21,3,31,1,1,22,11,41
2020/21,43924,24,1,16,2,31,2,2,12,6,40
2020/21,43924,25,1,21,1,30,2,2,14,7,32
2020/21,43924,26,1,15,5,33,2,2,16,8,28
2020/21,43924,27,1,15,6,41,3,3,20,10,20
2020/21,43924,28,1,29,9,49,1,1,24,12,18
2020/21,43924,29,1,31,8,41,6,6,22,11,35
2020/21,43924,30,1,24,7,40,9,9,20,10,33
2020/21,43924,31,1,25,12,39,8,8,26,13,26
2020/21,43924,32,1,19,8,35,8,8,28,14,38
2020/21,43924,33,1,11,11,28,8,8,24,12,53
2020/21,43924,34,1,20,14,26,7,7,28,14,37
2020/21,43924,35,1,22,11,23,8,8,28,14,25
2020/21,43924,36,1,16,11,16,8,8,22,11,17
2020/21,43924,37,1,13,8,13,9,9,18,9,14
2020/21,43924,38,1,10,9,20,10,10,10,5,13
2020/21,43924,39,1,12,8,19,10,10,10,5,12
2020/21,43924,40,1,13,5,23,14,14,10,5,16
2020/21,43924,41,2,10,5,24,20,20,14,7,18
2020/21,43924,42,2,15,4,31,20,20,20,10,19
2020/21,43924,43,2,12,4,35,17,17,36,18,19
2020/21,43924,44,1,12,3,35,16,16,56,28,22
2020/21,43924,45,1,6,2,30,18,18,60,30,19
2020/21,43924,46,2,6,2,27,21,21,56,28,15
2020/21,43924,47,2,13,3,20,24,24,56,28,12
2020/21,43924,48,2,15,3,20,24,24,44,22,8
2020/21,43925,1,1,16,3,23,17,17,32,16,8
2020/21,43925,2,2,21,3,29,13,13,22,11,13
2020/21,43925,3,3,20,4,37,13,13,16,8,19
2020/21,43925,4,3,22,4,30,11,11,16,8,17
2020/21,43925,5,2,24,5,33,13,13,16,8,22
2020/21,43925,6,4,22,6,37,13,13,16,8,32
2020/21,43925,7,6,17,3,31,14,14,8,4,48
2020/21,43925,8,4,12,2,29,11,11,12,6,41
2020/21,43925,9,4,18,2,30,9,9,6,3,31
2020/21,43925,10,4,26,10,22,10,10,4,2,21
2020/21,43925,11,6,27,1,29,14,14,2,1,14
2020/21,43925,12,6,29,4,23,14,14,4,2,17
2020/21,43925,13,8,25,3,23,13,13,4,2,12
2020/21,43925,14,3,21,1,24,15,15,4,2,18
2020/21,43925,15,4,16,1,21,13,13,8,4,26
2020/21,43925,16,5,15,2,22,12,12,14,7,20
2020/21,43925,17,10,22,2,21,8,8,16,8,10
2020/21,43925,18,11,28,2,22,6,6,18,9,14
2020/21,43925,19,8,30,6,25,5,5,20,10,11
2020/21,43925,20,5,46,7,33,3,3,24,12,12
2020/21,43925,21,3,39,16,30,3,3,24,12,20
2020/21,43925,22,6,50,29,35,5,5,26,13,27
2020/21,43925,23,8,49,35,22,9,9,22,11,40
